Attraction,location,info
동대문역사문화공원,서울 중구,서울의 옛 정취를 느낄 수 있는 문화공원
서울식물원,서울 강서구,도심 속 아름다운 녹색 명소
서울숲,서울 성동구,숲과 문화가 어우러지는 서울의 대표적인 녹색쉼터
N서울타워,서울 용산구,서울 전경을 한눈에 담을 수 있는 명소 
경복궁,서울 종로구,그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ①
롯데월드 어드벤처,서울 송파구,"모험과 신비로움이 가득! 국내 최초, 최대 실내테마파크"
덕수궁,서울 중구,그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ②
창덕궁,서울 종로구,그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ⑤
롯데월드타워 서울스카이,서울 송파구,서울을 한 눈에 담을 수 있는 하늘과 가까운 곳
선정릉,서울 강남구,"서울 도심의 녹지, 조선 성종과 계비인 정현왕후 윤씨와 중종의 왕릉"
마포구하늘공원,서울 마포구,하늘과 초원이 맞닿은 공원
낙산공원,서울 종로구,한양도성과 숲이 어우러져 서울 야경이 아름다운 공원 
석촌호수,서울 송파구,석촌호수의 시민들의 휴식처
청계천,서울 중구,서울의 한복판 종로구와 중구와의 경계에 흐르는 하천
서래마을,서울 서초구," 레스토랑과 와인바, 카페가 많은 서울안의 프랑스 "
망원시장,서울 마포구,다양한 즐거움이 있는 망원시장
경희궁,서울 종로구,그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ③
돈의문박물관마을,서울 종로구,반려동물과 함께 느껴보는 근현대 서울의 삶
서울로 7017,서울 중구,서울과 서울을 잇는 길
덕수궁 돌담길,서울 중구,낭만이 가득한 덕수궁 돌담길
경의선숲길,서울 마포구,"철길 따라 다른 풍경, 경의선숲길"
서울공예박물관,서울 종로구,다양한 시대와 분야를 아우르는 공간 
남산골한옥마을,서울 중구,한옥이 보존되어 있는 마을
여의도한강공원,서울 영등포구,볼거리와 즐길거리가 풍부한 휴식공간
광장시장,서울 종로구,우리나라 최초의 상설시장
서대문형무소역사관,서울 서대문구,역사를 잊은 민족에게 미래는 없다는 묵직한 울림
AK PLAZA 홍대,서울 마포구,AK프라자가 운영하는 신개념 쇼핑몰
세빛섬,서울 서초구,한강을 아름답게 밝혀주는 세개의 빛나는 섬
반포대교 달빛무지개분수,서울 서초구,아름다운 야경을 선물하는 곳
올림픽공원,서울 송파구,88올림픽을 치른 서울의 대표 공원
월드컵공원,서울 마포구,생태복원과 환경재생을 향한 도전과 의지의 실현! 
송파책박물관,서울 송파구,책 문화 박물관
서대문자연사박물관,서울 서대문구,태초의 생명과 대자연의 역사가 펼쳐진다
몽촌토성,서울 송파구,한성백제의 국가 터전을 마련했던 거성
푸른수목원,서울 구로구,서울시 최초의 친환경 청정 시립 수목원
와룡공원,서울 종로구,계절별 아름다운 꽃이 피는 공원
숭례문,서울 중구,현존하는 한국 성문 중 가장 규모가 큰 국보 숭례문
이순신장군동상,서울 종로구,조선 최고의 명장 이순신 장군을 기리다
몽마르뜨공원,서울 서초구,산책하기 좋은 서래마을 공원
롯데월드몰,서울 송파구,서울의 아름다움을 한눈에 담을 수 있는 곳
인왕산,서울 종로구,기묘한 바위가 한 폭의 산수화 같은 서울의 바위산
한강시민공원 뚝섬지구,서울 광진구,강변유원지로 유명했던 한강레저스포츠의 중심
종묘,서울 종로구,왕과 왕후의 신주를 모신 사당
섬세이 테라리움,서울 성동구,다양한 자연의 감각을 오감으로 느낄 수 있는 맨발 체험 전시 
불암산,서울 노원구,부처님을 닮은 큰 바위가 있는 산
통인시장,서울 종로구,전통과 예술이 함께하는 통인시장
탑골공원,서울 종로구,우리 민족의 독립 정신이 살아 숨 쉬는 탑골공원
남대문 문구상가,서울 중구,문구와 완구 및 포장 용품 전문점들이 모여있는 거리
청와대사랑채,서울 종로구, 청와대 및 역대 대통령 발자취를 볼 수 있는 홍보관
반포한강공원,서울 서초구,세계에서 가장 긴 교량분수가 있는 곳
서울어린이대공원,서울 광진구, 어린이의 낙원이자 살아있는 학습 교육장
국립민속박물관&국립민속박물관 어린이박물관,서울 종로구,국내 유일의 민속생활사 관련 국립박물관
목인박물관 목석원,서울 종로구,세계 각국의 목인(木人)을 만나볼 수 있는 곳
용마폭포공원,서울 중랑구,인공폭포가 있는 용마산 자락의 휴식공간
서울 운현궁,서울 종로구,조선 말기 역사적 사건을 함께한 왕실 문화의 전당
세종대왕동상,서울 종로구,"민족의 자긍심을 높이고, 민족의 우수성을 세계에 널리 알린다"
창의문,서울 종로구,4소문 중에서 그 원형을 유일하게 보존하고 있는 문
한성백제박물관,서울 송파구,2천년 고도 서울의 역사를 보존하고 발전시키는 곳
여의도샛강생태공원,서울 영등포구,국내 최초로 자연환경 보존을 위해 한강변 생태공원
용산가족공원,서울 용산구,우리의 힘들었던 역사에 함께 있었던 공원
국립항공박물관,서울 강서구, 국내 최초로 선보인 항공 분야 국립박물관
난지한강공원,서울 마포구,캠핑과 바비큐를 즐길 수 있는 도심 속 휴식 공간
서서울호수공원,서울 양천구,이색풍경을 담은 자연미술관
서울생활사박물관,서울 노원구,기억과 감성을 담은 근현대 생활사 박물관
무수아취,서울 도봉구,캠핑 식당 무수아취
키자니아 서울,서울 송파구,미리 체험해 보는 나의 미래 직업체험
서울함공원,서울 마포구,3척의 퇴역 군함을 이용하여 조성한 함상 테마파크
헬로우 에이피엠 (Hello apm),서울 중구,젊음과 열기가 가득한 동대문 쇼핑 명소
배봉산,서울 동대문구,걷기에 최적화된 무장애 둘레길을 가진 동대문구 대표 산
독립문,서울 서대문구,민족의 독립과 자유를 위한 국민의 상징인 기념물
세운상가,서울 종로구,50년 전통의 전자제품 유통과 판매의 메카
구로중앙유통단지,서울 구로구,동양 최대의 산업 용품 단지 
만해한용운심우장,서울 성북구,‘님의 침묵’의 시인인 만해 한용운님의 유택
전쟁기념관,서울 용산구,"호국의 전당, 전쟁기념관 "
서울 중부시장,서울 중구,오랜 역사와 전통을 자랑하는 대한민국 건어물의 1번지
강변스파랜드,서울 광진구,24시간 즐길 수 있는 강변 최대의 사우나
삼익패션타운,서울 중구,남대문시장 안에 있는 패션의 명가
선유도공원,서울 영등포구,과거 정수장 건축구조물을 재활용하여 만들어진 공원
양화한강공원,서울 영등포구,넓게 조성된 잔디밭에서 바라보는 탁 트인 전망
롯데월드 아쿠아리움,서울 송파구,깊고 드넓은 해양 생태계 그대로를 재현하겠다는 신념과 고집이 묻어나는롯데월드 아쿠아리움
IFC몰,서울 영등포구,반려견과 함께 쇼핑이 가능한 복합문화쇼핑몰
강서농산물도매시장,서울 강서구,서울 강서구 외발산동에 위치한 강서농산물도매시장
흥인지문,서울 종로구,서울성곽 8개의 문 중에서 동쪽에 있는 문
남산 야외식물원,서울 용산구,남산타워 올라가기 위해 거쳐가는 자연쉼터
수락산,서울 노원구,사계절 많은 이들이 찾는 시민들의 휴식공간
중명전,서울 중구,대한제국의 역사적인 주요 사건 현장
고속터미널 꽃도매상가,서울 서초구,향기 가득한 꽃들의 집결지
국립고궁박물관,서울 종로구,조선 왕실과 대한제국 황실의 문화와 역사의 이해를 돕는 좋은 동반자
서울 평화시장,서울 중구,의류를 생산하고 판매하는 도매 시장
다이나믹 메이즈 (서울 인사동점),서울 종로구,실내 스포츠 테마파크
관악산 낙성대공원,서울 관악구,고려의 명장 강감찬을 기리는 공간
중랑장미공원,서울 중랑구,완연한 봄을 만끽할 수 있는 장미 정원
황궁우,서울 중구,천자가 하늘에 제사드리는 제천단
광화문광장,서울 종로구,과거와 현대를 연결하는 모두의 문화공간
서대문독립공원,서울 서대문구,독립애국지사들의 넋을 기리다
서울역사박물관,서울 종로구,조선시대를 중심으로 선사시대부터 현대까지서울의 역사·문화를 정리하여 보여주는 도시역사박물관
대림중앙시장,서울 영등포구,"""차이나""는 대림중앙시장!"
오금오름공원,서울 송파구,롯데타워가 한 눈에 보이는 뷰 맛집 가족공원
간송미술관,서울 중구,우리나라 최초의 사립미술관
서대문안산,서울 서대문구,서울을 한 눈에 담을 수 있는 걷기 좋은 순화형 무장애숲길
용산공원 반환부지,서울 용산구,역사를 품은 도심 속 감성 휴양지
더현대 서울,서울 영등포구,미래를 향한 울림
서울 효창공원,서울 용산구,애국선열들의 영혼이 잠든 곳
파크하비오 워터킹덤&스파,서울 송파구,서울에서 365일 즐기는 워터파크
서울창포원,서울 도봉구,붓꽃이 가득한 생태공원
약령시장,서울 동대문구,전국에서 가장 큰 한약재 시장
보라매공원,서울 동작구,비행기 전시와 여름에는 물놀이터가 되는 공원
허준박물관,서울 강서구,한국 최초 한의학 박물관
전쟁과여성인권박물관,서울 마포구,전쟁과 폭력 없는 세상을 만들어 나가는 박물관
영등포청과시장,서울 영등포구,상큼한 가득 과일 전문 시장
국립한글박물관,서울 용산구,우리 민족 최고의 문화유산인 한글의 문자적 · 문화적 가치를 창출하고널리 알릴 수 있는 국립한글박물관
한강시민공원 망원지구(망원한강공원),서울 마포구,야경이 아름다운 산책 명소
아쿠아플라넷 63,서울 영등포구,여의도 63빌딩에서 만나는 바닷속 이야기
남산공원,서울 중구,한양도성의 안산이며 서울의 중심 남산 도시자연공원
마로니에공원,서울 종로구,젊음과 예술의 공원
경춘선숲길,서울 노원구,아날로그 감성의 동네철길
종이나라박물관,서울 중구,한국적 미감의 아름다움
코엑스 아쿠아리움,서울 강남구,환상적인 물의 여행
채석장 전망대,서울 종로구,채석장의 역사를 간직한 전망대
피규어뮤지엄W,서울 강남구,피규어 및 토이테마의 새로운 개념의 뮤지엄
서소문성지역사박물관,서울 중구,순교한 천주교인들을 기리는 곳이자 건축 디자인으로도 유명한 곳
둘리뮤지엄,서울 도봉구,"가족이 행복한, 어린이가 즐거운 둘리뮤지엄"
반포 서래섬,서울 서초구,도심속에 자리잡은 시민들의 휴식공간
응봉산(서울),서울 성동구,한강조망명소이자 개나리꽃의 명소
서울책보고,서울 송파구,12만권의 책이 모여있는 최대규모 헌책방
서울광장,서울 중구,역사적 무대에서 시민들의 공간이 된 광장
승진완구,서울 종로구,저렴한 가격에 장난감을 구매할 수 있는 곳
정릉(신덕왕후),서울 성북구,조선 1대 태조의 두 번째 왕비 신덕고황후 강씨의 능
디타워 (replace 광화문),서울 종로구,"레스토랑, 카페 등 공간이 어우러진 도심형 복합 타워"
강동그린웨이 가족캠핑장,서울 강동구,가족과 함께하는 도심 속 휴식
잠실한강공원,서울 송파구,생활체육시설 및 문화시설을 함께 이용하기 편한 시민들의 공원
스파레이,서울 서초구,전통 동유럽 분위기를 물씬 느낄 수 있는 스파
광장시장 한복매장,서울 종로구,"관혼상제의 모든 것, 한국인의 전통이 살아있는 시장"
가락농수산물종합도매시장,서울 송파구,국내 최대의 농수산물 도매시장
이촌한강공원,서울 용산구,시민들을 위한 도심 속 휴식처
양재꽃시장,서울 서초구,우리나라에서 가장 큰 규모를 자랑하는 화훼시장
서소문역사공원,서울 중구,도심 속 휴식 공간인 한국 최대의 순교 성지
사육신공원,서울 동작구,충심과 절개를 배우며 휴식을 취할 수 있는 공원
양천공원,서울 양천구,"배드민턴장, 조깅트랙, 산책로 등이 잘 조성되어 있는 양천구의 중심 양천공원"
연서시장,서울 은평구,특히 먹거리가 많은 대표 재래시장
여의도공원,서울 영등포구,도심과 숲을 잇는 녹색 나들목
북악팔각정,서울 종로구,41년 만에 개방된 북악하늘길 첫번째 산책로
삼청공원,서울 종로구,시민들에게 사랑받는 도심 속 공원
도산공원,서울 강남구,강남 빌딩 숲속 안창호 선생님의 애국정신이 잠들어 있는 곳
박물관은 살아있다(인사동점),서울 종로구,신개념 오감 충족 놀이형 체험 전시관
봉화산,서울 중랑구,봉수대가 있는 서울 외곽의 산
대학로,서울 종로구,젊은이들의 발길이 끊이지 않는 길
서울상상나라,서울 광진구,어린이들이 다양한 즐거움을 느낄 수 있는 복합문화공간
롯데아울렛 서울역점,서울 용산구,최신 트렌드를 가장 먼저 만날 수 있는 패션 아울렛
밀리오레,서울 중구,동대문 패션이 모두 모여있는 쇼핑몰
용마랜드,서울 중랑구,추억의 폐놀이공원
매헌 시민의 숲,서울 서초구,우리나라 최초로 숲 개념을 도입한 공원
북촌박물관,서울 종로구,전통문화의 가치와 현대미술의 아름다움을 보여주는 곳
아차산 어울림정원,서울 광진구,서울 도심속 아차산의 자연 휴식공간
노량진수산물도매시장,서울 동작구,팔딱팔딱 뛰는 활어처럼 생동감 넘치는 노량진수산시장
오동근린공원,서울 강북구,도심속에 자리잡은 시민들의 휴식공간
104고지전적비,서울 서대문구,장렬히 산화한 젊은 해병 대원들을 추모하는 전적비
롯데월드 민속박물관,서울 송파구,우리 민족의 역사와 전통문화가 살아 숨쉬는 공간
씨랄라 워터파크,서울 영등포구,지중해풍의 신개념 워터파크 & 스파
리얼월드 성수,서울 성동구,스토리 속 주인공이 되어보는 이색 체험 공간
광나루한강공원 암사생태공원,서울 강동구,천연기념물 황조롱이를 관찰할 수 있는 한강변 생태 낙원
통인가게 미술,서울 종로구,인사동의 가장 오래된 고미술품 전문 갤러리
광나루한강공원,서울 강동구,가을이면 들려오는 갈대들의 노랫소리
서울 암사동 유적,서울 강동구,우리나라 선사시대를 대표하는 최대의 집단 취락지 
도봉산,서울 도봉구,서울시민들의 사랑을 받는 산세가 아름다운 산
롯데월드 아이스링크(실내),서울 송파구,유리 돔 천정으로 탁 트인 느낌을 느낄 수 있는 곳
교보문고,서울 종로구,"민교육진흥의 실천적 구현, 독서인구 저변확대"
잠원한강공원,서울 서초구,빌딩 숲 사이 휴식과 레포츠의 공간
풋볼 팬타지움,서울 마포구,축구를 테마로 한 복합문화공간
서울 중앙시장,서울 중구,서울의 3대 시장으로 꼽혔던 전통시장
아이파크몰 용산점,서울 용산구, 다양한 여가활동을 즐길 수 있는 고품격 복합 쇼핑몰
달맞이봉공원,서울 성동구,한강변의 응봉산 야경 명소
마포농수산물시장,서울 마포구,2층 단독 건물형 시장
이새,서울 종로구,환경을 생각한 친환경 염색 의류
용마산,서울 중랑구,정상에 바라보는 서울의 도심이 아름다운 산
청계천박물관,서울 성동구,청계천의 역사와 문화
은평한옥마을,서울 은평구,북한산의 아름다운 자연환경과 현대식 한옥이 어우러진 명소
우리유황온천,서울 광진구,"지하 1,040m에서 32.6도의 천연 유황 온천수"
장충단공원,서울 중구,항일운동과 관련된 애국충정이 깃든 민족공원
레치키치 스튜디오,서울 마포구,다양한 이색 컨셉으로 행복한 우리들의 시간들을 담아내는 공간
파리공원,서울 양천구,서울과 파리의 영원한 우정을 위하여
하우스 도산,서울 강남구,퓨처 리테일의 새로운 방향성을 제시하는 ‘하우스 도산’
헌인릉 생태경관보전지역(오리나무림),서울 서초구,오리나무가 군락을 이루고 있는 습지
동림매듭공방,서울 종로구,다양한 전통 매듭을 경험해 볼 수 있는 곳
프레젠트모먼트,서울 마포구,동심으로 돌아가는 듯한 산타창고
금강제화 영등포본점,서울 영등포구,다양한 브랜드의 패션잡화가 한 곳에 !
용산역광장,서울 용산구,이용객들의 편의성이 확보된 광장
에프마켓남부낚시,서울 금천구,낚시인들의 성지
롯데백화점 본점 에비뉴엘,서울 중구,해외 패션 브랜드 및 보석 브랜드가 있는 고품격 백화점
홍난파가옥,서울 종로구, 1930년대 서양 가옥의 특성을 잘 보존하고 있는 곳
백인제가옥,서울 종로구,전통적인 한옥의 모습과 근대적 변화를 수용한 고택
국립중앙박물관 어린이박물관,서울 용산구,어린이가 다양한 감각으로 우리 문화유산을 살펴보는 곳
돌실나이 본사할인점,서울 종로구,우리 옷 한복의 문화를 일구는 공간
북악산,서울 종로구,서울 분지를 둘러싸는 내4산 중 가장 높은 산
수도박물관,서울 성동구,"상수도 역사의 과거, 현재, 미래가 있는 곳"
구로공단 노동자생활체험관,서울 금천구,구로공단의 역사와 노동자의 삶을 엿볼 수 있는 곳 
한국은행 화폐박물관,서울 중구,화폐의 역사와 가치를 공유하는 국민의 박물관
창경궁 홍화문,서울 종로구,국왕이 직접 백성들을 만났던 곳
관악산 호수공원,서울 관악구, 관악산을 찾는 많은 사람들의 휴식공간
금강제화 명동본점,서울 중구,명동에 위치한 금강제화판매점
고투몰,서울 서초구,"쇼핑의 명소, 고투몰"
스토리지북앤필름,서울 용산구,독립출판과 소규모출판물을 다루는 해방촌에 위치한 책방
배재학당역사박물관,서울 중구,유용한 인재를 기르고 배우는 집
서울 살곶이 다리,서울 성동구,지금까지 남아있는 조선 시대 다리 가운데 가장 긴 다리
마장 축산물시장,서울 성동구,재미있고 볼거리가 많아 머물고 싶은 시장 
공릉동도깨비시장,서울 노원구,다양한 먹거리가 가득한 서울 동부권 대표 시장
길음시장,서울 성북구,새로운 바람이 부는 전통시장
방신재래시장,서울 강서구,다양한 먹거리와 정겨운 분위기
가락몰,서울 송파구,현대식 쇼핑센터
다락원체육공원,서울 도봉구,심신을 치유하는 공간
우표박물관,서울 중구, 우표에 관한 모든 것을 만나고 배울 수 있는 곳
오목공원,서울 양천구,도심 속 평화로운 휴식공간 
설화수 도산 플래그십 스토어,서울 강남구,몸과 마음에 휴식을 주는 감각적인 공간
아모레 성수,서울 성동구,뷰티브랜드 아모레의 제품 체험과 휴식이 가능한 플래그십 스토어
목3동시장,서울 양천구,먹거리 가득한 골목형 시장
천호공원,서울 강동구,음악 분수가 아름다운 서울 도심 속 휴식공간 
서울약령시 한의약박물관,서울 동대문구,전국 한약재 거래량의 70% 이상을 차지하는 우리나라 최대의 한약 유통 중심지
서울마리나,서울 영등포구,한강에서 즐기는 수상레저와 요트문화
아시아공원,서울 송파구,보라색 라벤더 길이 향기로운 아시아선수촌 공원 
하모니마트 명동역점,서울 중구,외국인 관광객의 입맛에 맞는 것이 모여있는 슈퍼마켓
63아트,서울 영등포구,아름다운 한강의 풍경과 어우러진 전시장
초안산캠핑장,서울 노원구,서울 노원구에서 관리하는 초안산캠핑장
목동종합운동장실내아이스링크,서울 양천구,주민들의 생활체육 공간
청량리수산시장,서울 동대문구,신선한 수산물을 구입하기 위한 사람들로 북적이는 곳
방이시장,서울 송파구,정겨운 미소와 넉넉한 인심이 가득한 전통시장
창경궁,서울 종로구,국가의 큰 행사를 치르거나 외국 사신을 맞이하던 장소
절두산 순교성지,서울 마포구,한국 천주교의 역사에 대하여 알아갈 수 있는 곳
서리풀공원,서울 서초구,삶의 질을 높이는 휴양지
개봉중앙시장,서울 구로구,인근 주민들에게 편리한 장보기와 다양한 먹거리를 제공하다
북한산둘레캠핑장,서울 은평구,서울 도심 속에서 즐기는 캠핑
대신시장,서울 영등포구,"사람과 사람사이, 인심이 가득한 장터"
수성동계곡,서울 종로구,역사가 깃든 공간
영등포전통시장,서울 영등포구,역사가 깊은 전통시장
10꼬르소꼬모 청담점,서울 강남구,편집숍과 함께하는 카페
다비치안경 (명동점),서울 중구,전문성과 신뢰를 바탕으로 한 최고의 안경전문기업
신세계백화점 (본점),서울 중구,쇼핑 공간을 넘어 휴식과 감동을 제공하는 문화 공간
신문박물관,서울 종로구,Presseum
한국전통관광명품점,서울 종로구,진심을 담아 만든 일상 속 새로운 전통문화
남평화상가,서울 중구,서울 중구 장충단로에 위치한 가방 및 의류 전문 도매상가
종이잡지클럽,서울 마포구,전세계의 잡지를 읽거나 구매할 수 있는 국내 유일의 잡지전문공간
아름다운 차박물관,서울 종로구,향긋한 차 문화를 보고 체험할 수 있는 박물관
망우 역사 문화공원,서울 중랑구,망우리 공원에서 만나는 살아있는 역동의 근현대사
한국천주교순교자박물관,서울 마포구,병인박해의 역사를 기리는 공간
종로 떡박물관,서울 종로구,전통 떡과 차 민속주 등을 전시하는 박물관
춘원당한의약박물관,서울 종로구,한의학의 근·현대 역사를 되짚어보다
신창시장,서울 도봉구,사람과 사람 사이 오고 가는 정이 가득한 재래시장
그랜드하얏트 서울 아이스링크,서울 용산구,감미롭고 환상적인 시간을 보내다
양재근린공원,서울 서초구,도심속 어린이들의 건강과 즐거움을 책임지는 공간
신라면세점(서울점),서울 중구,글로벌 신라면세점의 플래그십스토어
고척근린시장,서울 구로구,현대와 전통이 융화된 복합 상설시장
평화의공원,서울 마포구,다양한 테마로 재조성된 월드컵 공원
핫트랙스 (광화문점),서울 종로구,쇼핑을 통해 일상의 즐거움과 편안함을 누릴 수 있는 곳
봉천중앙시장,서울 관악구,작지만 알찬 봉천중앙시장
태릉시장,서울 중랑구,소박하지만 활기찬 시장
용양봉저정 공원,서울 동작구,서울 시내의 아름다운 경관을 볼 수 있는 공원
서울시립대학교박물관,서울 동대문구,우리 민족의 역사를 더 구석구석
세인트제임스 삼청점,서울 종로구,원조 마린룩! 삼청동의 분위기 메이커
갤러리아백화점명품관EAST,서울 강남구,한국 하이엔드 패션의 메카 
신영시장,서울 양천구,상인과 지역주민들이 함께 나눔과 상생을 도모하는 시장
한강공원 난지캠핑장,서울 마포구,다양한 캠핑 문화를 즐길 수 있는 도심 속 휴식공간
두타몰,서울 중구,동대문 랜드마크 쇼핑몰
짚풀생활사박물관,서울 종로구,짚과 풀로 만든 모든 전통 자료를 볼 수 있는 박물관 
서울 서초 글램핑 청계산장,서울 서초구,서울 근교 조용한 휴식이 가능한 글램핑장
용산전자랜드,서울 용산구,국내 전자 유통을 선도해 온 곳
동국대학교 박물관,서울 중구,"불교문화와 미술을 배워보는 ""불교종합박물관"""
노룬산골목시장,서울 광진구,1970년대에 개설된 광진구에서 가장 역사 깊은 전통시장
때때롯살롱,서울 종로구,서울의 생활 한복 대표 브랜드 때때롯살롱
세인트제임스 서울,서울 강남구,클래식한 마린룩을 입고 싶다면!
봉일시장,서울 관악구,서울시 관악구 은천동에 있는 재래시장
신성종합시장,서울 광진구,서울 광진구 중곡사거리에 있는 신성종합시장
길동복조리시장,서울 강동구,천장이 있어서 비가 오거나 눈 오는 날도 편하게 장보기가 가능한 시장
가회민화박물관,서울 종로구,우리의 전통문화와 예술을 보존하고 발전시키는 박물관
서울청계광장,서울 중구,자연 친화적인 생태환경을 갖춘 광장
엘크레,서울 강남구,나에게 맞는 K-뷰티 꿀팁을 배워보자 !
네이처리퍼블릭 명동월드점,서울 중구,명동 자연주의 화장품판매점
화곡본동시장,서울 강서구,건강한 먹거리 온라인으로 장보기
현대백화점 (압구정본점),서울 강남구,압구정역 6번출구 앞 대형 백화점
고척근린공원,서울 구로구,산책하며 힐링하기 좋은 친환경 공원
종로구콰니,서울 종로구,합리적인 가격의 판매 공간
관훈동 한국공예관,서울 종로구,우리 문화와 정성이 가득 담긴 공예품을 만날 수 있는 곳
서강대박물관,서울 마포구,한국 민족문화를 배우는 박물관
테크노마트,서울 광진구,전자기기의 모든 것
우림시장,서울 관악구,편의 시설과 무료배송 서비스가 있는 시장
마천중앙시장,서울 송파구,맛있는 먹거리들이 가득한 건물형 재래 시장
송화벽화시장,서울 강서구,볼거리를 이용할 수 있는 시장
KCDF 갤러리숍 공예정원,서울 종로구,"우리나라 공예장인,디자이너들의 공예품들을 모아 판매,전시하는 공간"
소공동세란안경,서울 중구,"고객 맞춤 시스템으로 모두에게 만족스러운, 안경 전문 매장"
난지천공원,서울 마포구,도심 숲 푸른 공기
골든블루마리나,서울 서초구,금빛 도시 속 파란 한강으로의 여행 골든블루마리나
중곡제일시장,서울 광진구,고객의 편의를 고려한 광진구 최대 시장
카카오프렌즈 홍대 플래그십 스토어,서울 마포구,"일상의 즐거움을 주는 라이프스타일 브랜드, ‘카카오프렌즈’"
아트박스 (영등포점),서울 영등포구,여러 가지 물건들을 만날 수 있는 잡화점
비단길 현대시장,서울 금천구,현대와 전통이 어우러진 복합문화 시장터
영풍문고 스타필드코엑스몰점,서울 강남구,"책과 문화, 휴식과 만남이 있는 트렌디한 종합 문화 공간"
더벨스파 동대문현대시티아울렛점,서울 중구,완벽한 휴식을 위한 다양한 관리 프로그램
구로시장,서울 구로구,과거와 현재가 공존하는 구로의 전통시장
문래근린공원,서울 영등포구,도심 속에서 한가로운 시간을 보내다
파르나스몰,서울 강남구,"언제나 신선하고, 언제나 머물고 싶은 공간"
엔터식스 왕십리역점,서울 성동구,쇼핑의 패러다임을 바꾸는 상상력의 힘!
행복한백화점,서울 양천구,품질이 우수한 중소기업제품의 판로를 지원하는 백화점
수유시장,서울 강북구,서울 시내의 5대 재래시장
KT&G 상상마당 디자인스퀘어,서울 마포구,당신의 더욱 특별한 일상을 위하여
메세나폴리스 몰,서울 마포구,다양한 쇼핑시설과 문화공간을 만날 수 있는 곳
프리스비 (Frisbee) 건대점,서울 광진구,Apple의 신제품을 가장 먼저 만나볼 수 있는 곳 
POOM아트박스 (신촌점),서울 서대문구,여러 가지 물건들을 만날 수 있는 잡화점
북한산 족두리봉,서울 은평구,서울 은평구에서 즐기는 산행코스
열린송현녹지광장,서울 종로구,높은 담을 낮추고 시민에게 개방된 경복궁 옆 광장
플랫폼 플레이스(한남점),서울 용산구,해외 50여 개 브랜드로 꽉~ 찬 리빙 제품 편집숍
궁가는여우,서울 종로구,한복 대여 및 체험점
한국금융사박물관,서울 중구,우리나라 금융 발전사를 알아보고 싶다면 !
브릿지안경,서울 강남구,국내외 유명 디자이너가 제작한 안경들이 있는 곳
고궁마실,서울 종로구,창경궁에 인접한 한복대여점
테이크어스트릿 (Take a street),서울 마포구,다양한 콘셉트로 새로운 스타일을 연출하는 의류매장
올가홀푸드 방이점,서울 송파구,쇼핑하기 좋은 공간
사당시장,서울 동작구,쇼핑하기 좋은 곳
암사종합시장,서울 강동구,현대에 발 맞춰 디지털화된 암사동 종합시장
암사선사유적박물관,서울 강동구,서울 암사동 유적과 함께 선사시대 체험하기
광야 서울,서울 성동구,K-POP 아티스트의 IP 콘텐츠를 직접 체험할 수 있는 공간
카카오프렌즈 강남 플래그십 스토어,서울 서초구,일상의 즐거움을 주는 라이프스타일
현대카드 Vinyl & Plastic,서울 용산구,음악을 보고 듣고 만지다
롯데호텔서울 설화수 스파,서울 중구,마음의 안정
우이시장,서울 강북구,사람과 사람사이 오고가는 정이 가득한 재래시장
오르시아,서울 강남구,오랜 전통의 명품 주얼리 브랜드
눈스퀘어,서울 중구,패션과 문화의 메카 명동의 중심부에 자리한 복합 쇼핑몰
다이브라이프,서울 서초구,프리다이빙 및 스쿠버다이빙 전문 교육센터
현대시장,서울 동대문구,맛집을 찾는 손님들로 북적이는 시장
은평역사한옥박물관,서울 은평구,한옥의 역사를 배우는 박물관
금강제화 (강남본점),서울 강남구,쇼핑을 한 곳에서!
물빛광장,서울 영등포구,물이 선사하는 다양한 즐거움 !
,서울 중랑구,깔끔하고 편안한 시장
광화문,서울 종로구,경복궁의 정문이자 임금이 행차하는 문
동대문종합시장,서울 종로구,"원단/의류부자재,액세서리,혼수용품 및 홈인테리어"
방학동도깨비시장,서울 도봉구,좋은 상품을 저렴한 가격에 판매 전통시장
북촌한옥마을,서울종로구,600년 전 선조의 숨결이 살아숨쉬는 곳
스타필드 코엑스몰,서울 강남구,"동시대 패션과 미식, 문화와 엔터테인먼트까지 도시의 감성이 깃든 시티 라이프의 모든 것."
화랑대 철도공원,서울 노원구,서울의 마지막 간이역이 예쁜 불빛 정원으로
국립중앙박물관,서울 용산구,"과거와 현재, 미래가 공존하는 감동의 공간"
