Attraction,Category,Subclass,Address,Tag,Participants,etc,cafe,max,type
경동시장,관광,시장,서울특별시 동대문구 고산자로36길 3,#가볼래터#가족여행#나들이#나홀로여행#데이트코스#로컬여행#먹거리#서울경동시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#체험학습#친구와함께#힐링,49,0,3,3,cafe
용산가족공원,관광,근린공원,서울특별시 용산구 서빙고로 137 국립중앙박물관,#가족공원#가족과함께#가족여행#걷기여행#관광지#나들이#당일치기여행#반려동물동반여행지#사계절#서울공원#서울근교여행#수도권반려동물여행지#아이와함께#연인과함께#용산가족공원#용산공원#용산미군기지#친구와함께#태극기공원#피크닉#힐링#힐링&휴양여행,36,6,0,6,etc
서서울호수공원,관광,"도시,테마공원",서울특별시 양천구 남부순환로64길 26 신월야구장,#가족여행#걷기여행#걷기좋은공원#관광지#나들이(피크닉)#당일치기여행#사계절#서서울호수공원#서울공원#아이와함께#연인과함께#자연미술관#친구와함께#피크닉#힐링&휴양여행,41,0,0,3,korean
무수아취,관광,"캠핑,야영장",서울특별시 도봉구 도봉로169길 249,#가볼래터#가족과함께#글램핑#도봉구#도봉구맛집#도봉맛집#바베큐#바베큐전문점#바비큐#서울가볼만한곳#서울글램핑#셀프바베큐#여행구독#음식#친구와함께#캠핑감성#캠핑식당,"2,025",0,0,3,korean
서울함공원,관광,"도시,테마공원",서울특별시 마포구 마포나루길 407,#가족과함께#가족여행#관광지#교육여행#마포공원#서울함#서울함공원#아이와함께#역사속으로#역사이야기#이색체험#퇴역군함#한강버스킹#함상테마파크#해양수호공원#휴식공간#휴식하기좋은곳#힐링여행,151,0,0,4,korean
헬로우 에이피엠 (Hello apm),관광,"화장품,향수",서울특별시 중구 장충단로 253 헬로우 에이피엠,#멀티쇼핑몰#쇼핑#외국인이많이찾는#외국인친구에게추천#패션몰,28,0,0,2,chinese
키자니아 서울,관광,테마파크,서울특별시 송파구 올림픽로 240 키자니아 서울,#관광지#도심여행#미세먼지_피하는_실내여행#실내여행지#아이가_열광하는_여행#아이가_좋아하는_여행#아이와함께#아이직업체험#이색체험#직업체험#체험#체험관광#키자니아#테마파크,111,0,0,1,korean
배봉산,관광,산,서울특별시 동대문구 휘경2동 배봉산,#가벼운등산#관광지#남녀노소#동대문구산#동대문구산책길#배봉산둘레길#보행데크#산책코스#서울시립대근처산#아이와함께#자연#자연속으로#자연여행#자연좋은곳#자연풍경#자연환경#휴식여행#휴식하기좋은곳#힐링산책#힐링여행,10,0,0,6,korean
만해한용운심우장,관광,기념물,서울특별시 성북구 성북로29길 24,#가족과함께#관광지#아이와함께#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적지#역사이야기#역사탐방#역사탐험,11,0,1,3,korean
독립문,관광,기념물,서울특별시 서대문구 현저동 941,#관광지#교과서속여행#독립문#독립협회#서대문독립공원#서대문독립문#수도권#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사탐방#역사탐험#연중무휴#최초서양식건물#프랑스개선문,36,0,0,6,chinese
전쟁기념관,관광,박물관,서울특별시 용산구 이태원로 29 전쟁기념관,#가족여행#교과서속여행#도심여행#문화시설#미세먼지_피하는_실내여행#박물관#실내관광지#실내여행지#아이와함께#용산전쟁기념관#전쟁기념관#전쟁사#전통&역사문화체험#체험학습,772,0,2,2,cafe
서울 중부시장,관광,시장,서울특별시 중구 을지로32길 33,#가족여행#나들이#나홀로여행#데이트코스#도심여행#먹거리#서울중부시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#친구와함께,24,0,0,5,korean
삼익패션타운,관광,"상가,아케이드",서울특별시 중구 남대문시장8길 7 삼익상가지하 2,#관광특구#구두전문백화점#남대문도매시장#남대문먹자골목#남대문시장#쇼핑#아동복#아동복시장#유명의류할인매장#패션,60,1,0,1,etc
흥인지문,관광,기념물,서울특별시 종로구 종로 288 흥인지문,#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행#서울성곽#아이와함께#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#전통&역사문화체험#친구와함께#한양도성#흥인지문,46,0,0,5,korean
롯데월드 아쿠아리움,관광,아쿠아리움,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,#가족과함께#롯데월드#롯데월드아쿠아리움#문화시설#미세먼지_피하는_실내여행#실내관광지#실내데이트#실내여행지#아이와함께#아쿠아리움#연인과함께#연중무휴#커플데이트,"9,496",0,0,1,korean
남산 야외식물원,관광,"식물원,수목원",서울특별시 용산구 이태원동 259-16,#가족여행#관광지#남산야외식물원#남산타워#데이트코스#도심여행#사계절#수도권#야외식물원#연인과함께#연중무휴#자연#자연쉼터#자연좋은곳#친환경여행#힐링,189,0,0,6,korean
선유도공원,관광,근린공원,서울특별시 영등포구 선유로 343,#관광지#도심산책#산책길#산책로#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링산책#힐링여행,67,0,1,1,cafe
중명전,관광,국가유산,서울특별시 중구 정동,#가족여행#고종황제편전#관광지#교과서속여행#근대문화유산#대한제국궁궐#대한제국편전#도심여행#상설전시#아이와함께#역사#외국인사교클럽#유명건물#을사늑약장소#전통&역사문화체험#중명전#체험학습#친구와함께#헤이그특사파견#황실도서관,17,0,0,6,korean
양화한강공원,관광,시민공원,서울특별시 영등포구 노들로 113 양화개나리점,#걷기길#관광지#나들이#도심여행#산책#서울가볼만한곳#야경투어#양화한강공원#연인과함께#자전거여행#조깅#친구와함께#피크닉#한강공원#한강시민공원양화지구,61,0,0,5,korean
수락산,관광,산,서울특별시 노원구 상계동,#가족여행#관광지#당일치기여행#등산#등산로#사계절#서울근교여행#수락산#아이와함께#연인과함께#자연#자연좋은곳#친구와함께#힐링&휴양여행,49,0,2,2,cafe
국립고궁박물관,관광,박물관,서울특별시 종로구 효자로 12 국립고궁박물관,#교과서속여행#국립고궁박물관#나들이#문화시설#박물관#실내여행지#아이와함께#전시관#전통&역사문화체험#체험학습#친구와함께,119,0,0,9,korean
IFC몰,관광,"쇼핑센터,할인매장",서울특별시 영등포구 여의도동 국제금융로 10 서울 국제금융 센터,#IFC몰#복합쇼핑몰#쇼핑#수도권#여의도대형쇼핑몰#여의도복합쇼핑몰#여의도쇼핑#여의도아이에프씨몰#연중무휴#영등포#크리스마스,"1,986",0,0,4,korean
관악산 낙성대공원,관광,"도시,테마공원",서울특별시 관악구 낙성대로 77 낙성대공원,#가족여행#강감찬#강감찬장군#관광지#관악산낙성대공원#교과서속여행#낙성대강감찬#낙성대공원#당일치기여행#서울근교여행#서울둘레길#서울둘레길5코스#아이와함께#역사#역사유적지#연인과함께#전통&역사문화체험#친구와함께,104,0,0,3,japanese
다이나믹 메이즈 (서울 인사동점),관광,테마파크,서울특별시 종로구 인사동길 12 대일빌딩 지하1층,#관광지#다이나믹메이즈#도심여행#레포츠체험#복합문화공간#수도권#실내놀이터#실내여행지#연인과함께#연중무휴#이색체험#체험#친구와함께,"2,615",0,0,2,korean
서대문독립공원,관광,테마공원,서울특별시 서대문구 통일로 247 독립문역,#걷기길#관광지#교과서속여행#서대문독립공원#수도권#아이와함께#역사#연중무휴,282,4,0,4,etc
대림중앙시장,관광,시장,서울특별시 영등포구 디지털로37나길 21,#가족여행#나들이#나홀로여행#대림중앙시장#데이트코스#먹거리#서울근교여행#쇼핑#수도권#시장맛집#아이와함께#연인과함께#이색체험#전통시장#전통시장투어#차이나타운#체험학습#친구와함께#힐링,12,0,0,4,korean
서울역사박물관,관광,박물관,서울특별시 종로구 새문안로 55,#가족여행#교과서속여행#단체관람#도심여행#문화시설#박물관#서울역사박물관#아이와함께#전통&역사문화체험#체험학습#친구와함께,34,0,0,7,korean
더현대 서울,관광,백화점,서울특별시 영등포구 여의대로 108 더현대 서울,#더현대서울#백화점#복합문화공간#쇼핑#플래그십스토어#현대백화점,"2,326",0,0,5,korean
서울 효창공원,관광,국가유산,서울특별시 용산구 효창동,#관광지#서울공원#서울효창공원#수도권#역사공부#역사를품은곳#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#연인과함께#연중무휴#효창공원,24,0,0,1,chinese
파크하비오 워터킹덤&스파,관광,워터파크,서울특별시 송파구 송파대로 111 202동 지하1층,#가족과함께#가족나들이#관광지#도심속물놀이#무더위_피해_실내놀이#미세먼지_피하는_실내여행#아이와함께#여름방학가기좋은곳#여름여행#여름피서지#연인과함께#파크하비오#휴식공간#휴식하기#휴식하기좋은곳,"3,445",0,0,2,korean
서울창포원,관광,"식물원,수목원",서울특별시 도봉구 마들로 916,#가족과함께#가족나들이#걷기길#관광지#붓꽃#생태관광#서울창포원#식물원#아이와함께#이색체험#자연#자연관광지#자연속으로#자연여행#자연좋은곳#자연풍경#자연환경#창포원#체험학습#휴식여행#휴식하기#휴식하기좋은곳#힐링,49,0,0,2,korean
전쟁과여성인권박물관,관광,박물관,서울특별시 마포구 월드컵북로11길 20 전쟁과여성인권박물관,#마포박물관#문화시설#박물관#수도권#아이와함께#아픈과거#여성박물관#역사속#역사속으로#역사이야기#역사탐험#연인과함께#위안부피해생존자박물관#전시관#전쟁과여성인권박물관#전쟁박물관#친구와함께,38,0,0,6,west
마복림할머니집,음식,떡볶이,서울특별시 중구 다산로35길 5,#떡볶이#마복림#마복림떡볶이#맛집#서울맛집추천#신당동떡볶이#신당동맛집#음식#즉석떡볶이,"5,114",0,0,4,korean
아쿠아플라넷 63,관광,아쿠아리움,서울특별시 영등포구 63로 50,#63빌딩수족관#63빌딩아쿠아리움#가족여행#관광지#대형수족관#데이트코스#도심여행#미세먼지_피하는_실내여행#수도권#실내여행지#아이가_좋아하는_여행#아이와함께#아쿠아리움#아쿠아리움&수족관#아쿠아플라넷63#여의도아쿠아플라넷#연인과함께,"6,386",0,0,1,korean
뮤직컴플렉스 서울,음식,"카페,디저트",서울특별시 종로구 인사동길 49 안녕인사동 5층 뮤직컴플렉스서울,#LP카페#가볼래터#뮤직카페#뮤직컴플렉스서울#여행구독#음식#음악카페#이색체험#이색카페#인사동가볼만한곳,610,0,0,4,korean
또순이네집,음식,소고기구이,서울특별시 영등포구 선유로47길 16 오오1004빌딩,#또순이네#또순이네된장찌개#양평동또순이네#영등포또순이네#음식#주물럭맛집,"2,778",0,0,1,chinese
우묵배미,음식,돼지고기구이,서울특별시 관악구 남부순환로 1540 1층,#갈비탕#고기맛집#관악구#꽁치김치찜#돼지낙지전골#돼지두부찌개#돼지두부찌개#돼지볶음#돼지볶음#맛집#서울맛집#서울우묵배미#서울한식당#신림역맛집#육개장#음식,126,0,0,6,korean
영등포청과시장,관광,시장,서울특별시 영등포구 영신로41길 5-1 에이원하우징,#과일도매시장#서울청과물시장#쇼핑#영등포과일시장#영등포청과시장,19,0,0,5,korean
보라매공원,관광,근린공원,서울특별시 동작구 여의대방로20길 33,#걷기길#공군체험#관광지#동작구공원#동작노천수영장#동작보라매공원#반려견놀이터#보라매공원#산책길#산책하기#산책하기좋은곳#수도권#아이와함께#야간분수쇼#연중무휴#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,838,0,0,1,korean
호텔 카푸치노,숙소,3성급,서울특별시 강남구 봉은사로 155 호텔 카푸치노,#반려견동반여행지#서울숙소#서울호텔#숙박#숙박쿠폰#애견동반숙소#연인과함께#친구와함께#친환경호텔#카푸치노호텔#호캉스#호캉스즐기기#호텔카푸치노,183,0,0,3,korean
한강시민공원 망원지구(망원한강공원),관광,시민공원,서울특별시 마포구 마포나루길 467 한강공원망원지구사무소,#걷기길#관광지#나들이#도심여행#망원한강공원#산책길#산책하기#산책하기좋은곳#야경투어#연인과함께#자전거여행#조깅#친구와함께#피크닉#한강시민공원망원지구,141,3,0,3,etc
국립한글박물관,관광,박물관,서울특별시 용산구 서빙고로 139,#가족체험여행#교과서속여행#국립한글박물관#문화시설#문화행사#미세먼지_피하는_실내여행#박물관#수도권#아이와함께#외국어해설#자원봉사활동#전시관#전통&역사문화체험#체험학습,265,0,0,1,west
토속촌삼계탕,음식,"백숙,삼계탕",서울특별시 종로구 자하문로5길 5 토속촌,#맛집#삼계탕#음식#종로맛집#토속촌_오골계_삼계탕#토속촌삼계탕#해물파전,"4,675",0,2,3,korean
허준박물관,관광,박물관,서울특별시 강서구 허준로 87 허준박물관,#교과서속여행#구암허준#도심여행#문화시설#박물관#아이와함께#전시#전통&역사문화체험#체험학습#허준#허준박물관,39,1,0,5,west
남산공원,관광,"도시, 테마공원",서울 중구 삼일대로 231,#가족여행#관광지#나들이#남산#남산공원#남산데이트#남산순환버스#남산케이블카#남산타워#당일치기여행#데이트코스#사계절#산책하기좋은곳#서울도심공원#서울자연휴식처#서울휴식공간#아이와함께#연인과함께#친구와함께#피크닉#휴식하기좋은곳#힐링,130,0,0,1,korean
석파랑,음식,한정식-일반,서울특별시 종로구 자하문로 309,#건강식맛집#건강여행#궁중수라#남녀노소#만세#맛집#부모님과함께#석파#수복#음식#전통음식#정성가득#종로구#진연#진찬#한정식#힐링여행,87,0,0,4,korean
마로니에공원,관광,근린공원,서울특별시 종로구 대학로 104,#가족과함께#가족여행#걷기여행#공연#관광지#나들이#당일치기여행#대학로#대학로공원#대학로데이트코스#데이트코스#동숭로공원#마로니에공원#사계절#서울근교여행#아이와함께#연극#연인과함께#친구와함께#피크닉#힐링&휴양여행,401,0,6,6,cafe
선천집,음식,한식,서울특별시 종로구 인사동14길 5,#맛집#백년가게#불고기#서울시#음식#이북음식#종로구#평안도#한식#한정식,58,0,2,2,cafe
경춘선숲길,관광,도보코스,서울특별시 노원구 공릉동 272-2,#걷기좋은길#경춘선#관광지#레포츠#산책하기좋은곳#서울데이트장소#숲길#연인과함께#친구와함께,23,0,0,5,korean
종이나라박물관,관광,박물관,서울특별시 중구 장충단로 166 종이나라빌딩 2층,#나들이#단체관람#도심여행#문화시설#박물관#실내여행지#아이와함께#이색체험#종이나라박물관#체험학습,182,0,0,1,korean
청수정,음식,한식,서울특별시 종로구 삼청로 91,#맛집#불고기덮밥#뽈떼기찜#뽈떼기탕#삼청동맛집#삼청동밥집#음식#제육볶음#종로맛집#홍합밥#홍합밥정식#홍합비빔밥,996,0,0,2,korean
코엑스 아쿠아리움,관광,아쿠아리움,서울특별시 강남구 영동대로 513,#데이트코스#문화시설#미세먼지_피하는_실내여행#실내관광지#실내여행지#실내여행지#아이와함께#아쿠아리움&수족관#연인과함께#영화&드라마촬영지#체험학습#친구와함께#코엑스아쿠아리움,"9,220",0,2,2,cafe
피규어뮤지엄W,관광,박물관,서울특별시 강남구 선릉로158길 3 Ys Roo,#가족과함께#남녀노소#문화시설#아이가_좋아하는_여행#아이와함께#이색체험#테마관광지#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,143,0,0,3,korean
채석장 전망대,관광,전망대,서울특별시 종로구 낙산5길 51,#가족과함께#경치여행#경치좋은곳#관광지#서울야경#아이와함께#역사공부#역사속#역사속으로#역사여행#역사유적#역사이야기#역사탐방#역사탐험#채석장#카페낙타,203,0,0,8,korean
만석장,음식,한식,서울특별시 은평구 대서문길 43-10,#두부요리#두부요리전문점#두부한정식#두부한정식#만석장#맛집#백년가게#삼겹살가마구이#삼겹쌈밥#서울시#은평구#음식#정성가득,"1,044",0,0,4,korean
서울광장 스케이트장,관광,스케이트장,서울특별시 중구 을지로 12,#겨울스포츠#겨울여행#레포츠#복합레저스포츠#생활스포츠#서울광장#서울광장스케이트장#서울데이트#서울시청#스케이트#스케이트장#아이와함께#연인과함께#커플데이트#크리스마스,44,0,0,2,korean
용산초등학교 실내수영장,관광,수영장,서울특별시 용산구 한강대로57길 33 용산초등학교수영장,#레포츠#서울#서울수영장#수영#수영장#실내수영장#용산수영장#용산초등학교#용산초실내수영장#초등학교,29,0,0,7,korean
반포 서래섬,관광,섬,서울특별시 서초구 반포동,#관광지#남녀노소#도심산책#산책로#산책코스#산책하기좋은곳#자연#휴식하기#휴식하기좋은곳#힐링산책,21,0,0,1,korean
둘리뮤지엄,관광,박물관,서울특별시 도봉구 시루봉로1길 6,#둘리뮤지엄#문화시설#문화콘텐츠산업#박물관#복합문화공간#수도권#실내놀이터#아이가_좋아하는_여행#아이와함께#어린이날#어린이날가볼만한곳#전시관#체험학습,407,0,0,6,korean
응봉산(서울),관광,산,서울특별시 성동구 금호동4가 1540 응봉산,#관광지#등산#자연,47,0,0,2,korean
서울책보고,관광,서점,서울특별시 송파구 오금로 1 서울책보고,#INFP상상여행#관광지#서울책보고#서울헌책방#서점#송파쇼핑#쇼핑#아이와함께#친구와함께#헌책#헌책방,333,0,0,3,chinese
서소문성지역사박물관,관광,박물관,서울특별시 중구 칠패로 5,#문화시설#서소문성지#서소문성지역사박물관#서소문역사박물관#서울시건축상건축물#성지#순례지#아름다운건축물#역사박물관#천주교박해장소#천주교성지#천주교순교성지,300,0,0,3,korean
선동보리밥,음식,보리밥,서울특별시 성북구 성북로 134-4 선동보리밥,#감자전#백년가게#보리밥#서울맛집#영양돌솥밥#음식,591,0,0,6,korean
승진완구,관광,장난감,서울특별시 종로구 종로52길 30,#쇼핑#완구매장#유아완구#장난감,"2,133",1,0,1,etc
스파레이,관광,찜질방,서울특별시 서초구 강남대로107길 5 크레신빌딩,#관광지#뷰티&스파#사우나#스파레이#여성전용#연중무휴#온천&스파#찜질방#친구와함께#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,218,0,0,6,korean
잠실한강공원,관광,시민공원,서울특별시 송파구 한가람로 65 한강사업본부 잠실안내센터,#걷기길#관광지#나들이#도심여행#수도권#야경투어#연인과함께#자전거여행#잠실한강공원#조깅#친구와함께#피크닉#한강시민공원잠실지구#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,70,0,0,3,korean
디타워 (replace 광화문),관광,"쇼핑센터,할인매장",서울특별시 종로구 종로3길 17 디타워 광화문,#광화문맛집#광화문상가#광화문쇼핑#디타워광화문점#쇼핑#종로맛집#종로상가#종로쇼핑,14,3,1,9,west
가락농수산물종합도매시장,관광,시장,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장,#가락농수산물도매시장#가락시장#가족여행#나들이#나홀로여행#데이트코스#도심여행#먹거리#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#친구와함께#특산물,12,0,0,1,korean
이촌한강공원,관광,시민공원,서울특별시 용산구 이촌로72길 62 한강공원 이촌안내센터,#걷기길#관광지#남녀노소#봄나들이#산책코스#산책하기좋은곳#수도권#연인과함께#열린문화공간#이촌한강공원#한강시민공원#한강자전거#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,40,0,0,7,korean
강동그린웨이 가족캠핑장,관광,"캠핑,야영장",서울특별시 강동구 천호대로206길 87,#가족여행#강동구#레포츠#자연환경#주말여행#캠핑장#힐링여행,101,0,1,1,cafe
사육신공원,관광,근린공원,서울특별시 동작구 노량진로 191 사육신묘지공원,#가족여행#관광지#교과서속여행#노량진산책코스#당일치기여행#동작구공원#동작사육신공원#사육신#사육신공원#사육신묘#산책코스#산책하기좋은곳#서울근교여행#아이와함께#역사관광지#역사유적#역사유적지#전통역사문화체험#친구와함께#한강조망,14,0,0,2,korean
서소문역사공원,관광,근린공원,서울특별시 중구 칠패로 5 서소문공원,#관광지#도심산책#산책하기좋은곳#서소문성지#아이와함께#역사공부#역사이야기#휴식공간#휴식여행#휴식하기좋은곳#힐링산책,11,0,3,3,cafe
태릉국제스케이트장,관광,스케이트장,서울특별시 노원구 화랑로 681,#겨울스포츠#레포츠#복합레저스포츠#스케이트#스케이트강습#스케이트장#실내스케이트장#실내운동#육군사관학교#태릉#태릉국제스케이트장#태릉스케이트#태릉스케이트장,39,0,0,4,korean
대림창고,음식,"카페,디저트",서울특별시 성동구 성수이로 78,#남녀노소#빈티지#사진찍기좋은곳#성동구#연인과함께#음식#정미소#카페#휴식공간#휴식하기좋은곳,"2,176",0,0,1,west
삼청공원,관광,근린공원,서울특별시 종로구 삼청로 156 삼청공원관리실,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#삼청공원#삼청근린공원#서울공원#서울근교여행#숲체험원#아이와함께#연인과함께#자연좋은곳#친구와함께#피크닉#휴양여행#힐링,20,0,1,3,west
연서시장,관광,시장,서울특별시 은평구 통일로 850 연서시장,#쇼핑#연서시장#재래시장#전통시장,214,0,0,4,chinese
컨퍼런스하우스달개비 정동점,음식,한정식-일반,서울특별시 중구 세종대로19길 16,#단체모임추천#달개비#달개비한정식#맛집#서울시#서울시청맛집#서울중구맛집#서울한정식#음식#중구#한정식,91,0,3,3,cafe
겟댓샷(Get That Shot),음식,"카페,디저트",서울특별시 영등포구 경인로 846 롯데백화점영등포점 1층,#가볼래터#서울#서울가볼만한곳#서울카페#여행구독#영등포#음식#이색카페#카페#힐링,615,0,0,4,korean
박물관은 살아있다(인사동점),관광,테마파크,서울특별시 종로구 인사동길 12 대일빌딩 지하1층,#데이트코스#도심여행#문화시설#박물관은살아있다#사계절#사진찍기#사진찍기좋은곳#사진촬영#실내여행지#아이와함께#연인과함께#이색체험#인생샷,773,0,0,4,korean
대학로,관광,"거리,골목",서울특별시 종로구 동숭동,#가족여행#관광지#나홀로여행#당일치기여행#대학로#데이트코스#도심여행#문화행사#사계절#상설공연#서울근교여행#아이와함께#연인과함께#체험#친구와함께#핫플레이스,11,0,1,4,west
도산공원,관광,테마공원,서울특별시 강남구 도산대로45길 20 도산전시관,#가족여행#걷기여행#관광지#나들이#당일치기여행#도산공원#도산안창호#사계절#서울근교여행#아이와함께#안창호공원#압구정#연인과함께#친구와함께#피크닉#힐링&휴양여행,44,0,0,5,korean
플로팅아일랜드,관광,섬,서울특별시 서초구 올림픽대로 2085-14 세빛섬,#문화시설#새빛섬결혼식장#선상웨딩#세빛섬#세빛섬플로팅아일랜드#프라이빗모임#플로팅아일랜드#한강결혼식#한강레스토랑#한강예식장#한강컨벤션,44,0,3,5,korean
더 스팟 패뷸러스,음식,"카페,디저트",서울특별시 중구 명동2길 22 1.2층,#뉴트로카페#명동카페#서울_여행지_추천#서울가볼만한곳#서울권#음식,"2,165",0,0,3,korean
서울상상나라,관광,박물관,서울특별시 광진구 능동로 216 서울상상나라,#문화시설#사계절#서울상상나라#아이와함께#여름방학가볼만한곳#이색체험#체험학습,"2,084",0,0,4,korean
진고개,음식,한식,서울특별시 중구 충무로 19-1,#갈비찜#맛집#문냉면#보쌈김치#불고기#서울중구#육개장#음식,420,0,0,3,korean
그랜드 인터컨티넨탈 서울 파르나스,숙소,호텔,서울특별시 강남구 테헤란로 521 그랜드 인터컨티넨탈 서울 파르나스,#강남구#서울숙소#서울호텔#숙박#숙박쿠폰#코엑스#호캉스#호캉스즐기기#호텔,"1,567",0,0,6,korean
북촌박물관,관광,박물관,서울특별시 종로구 북촌로 39,#가족과함께#고미술품#공예품#문화시설#박물관#북촌#서울시#아이와함께#역사속으로#역사이야기#전통&역사#전통작품#종로구#한국전통,39,0,0,5,korean
서울신라호텔,숙소,5성급,서울특별시 중구 동호로 249,#서울숙소#숙박#중구#호캉스즐기기,"3,956",0,0,8,korean
아차산 어울림정원,관광,"자연,생태공원",서울특별시 광진구 워커힐로 127 아차산 생태공원,#걷기길#관광지#광진구산책로#광진구휴식공간#산책하기좋은곳#생태관광#아차산생태공원#자연#자연&숲#자연좋은곳#트레킹#힐링산책,20,0,0,2,west
