,Attraction,topic_type,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
0,채그로,Topic 0,0.9463451504707336,0.013377721421420574,0.013512039557099342,0.01336570456624031,0.013399386778473854
1,소소한 풍경,Topic 4,0.022392958402633667,0.022582462057471275,0.022633427754044533,0.022527186200022697,0.9098640084266663
2,마복림할머니집,Topic 2,0.022442741319537163,0.022711709141731262,0.9094095230102539,0.02245331183075905,0.022982679307460785
3,뮤직컴플렉스 서울,Topic 4,0.014621765352785587,0.014585429802536964,0.014460285194218159,0.014335600659251213,0.9419969320297241
4,또순이네집,Topic 4,0.022371254861354828,0.022453170269727707,0.022445444017648697,0.02257854864001274,0.9101516008377075
5,우묵배미,Topic 1,0.010143027640879154,0.9591262936592102,0.010195702314376831,0.010351062752306461,0.010183929465711117
6,토속촌삼계탕,Topic 3,0.022357981652021408,0.022495349869132042,0.0226376224309206,0.9098713994026184,0.022637711837887764
7,석파랑,Topic 1,0.0,0.9128833413124084,0.0,0.057972945272922516,0.0
8,선천집,Topic 4,0.016903361305594444,0.017129600048065186,0.016939716413617134,0.01705867238342762,0.931968629360199
9,청수정,Topic 3,0.013416694477200508,0.013495591469109058,0.01364191435277462,0.9459052085876465,0.013540583662688732
10,만석장,Topic 3,0.010743962600827217,0.010731950402259827,0.010633953846991062,0.9571285843849182,0.010761519894003868
11,선동보리밥,Topic 4,0.022533604875206947,0.022620905190706253,0.022516531869769096,0.022523308172822,0.9098056554794312
12,대림창고,Topic 2,0.25818872451782227,0.014632009901106358,0.6981646418571472,0.014430646784603596,0.014584020711481571
13,컨퍼런스하우스달개비 정동점,Topic 4,0.016809877008199692,0.01694699190557003,0.017101189121603966,0.017111940309405327,0.9320299625396729
14,겟댓샷(Get That Shot),Topic 0,0.9257761836051941,0.018660500645637512,0.018438657745718956,0.01828891970217228,0.018835710361599922
15,더 스팟 패뷸러스,Topic 4,0.02258043922483921,0.022625640034675598,0.2878026068210602,0.022799842059612274,0.6441914439201355
16,진고개,Topic 3,0.020567577332258224,0.02055741660296917,0.02040756866335869,0.9179844260215759,0.020483030006289482
17,우래옥,Topic 0,0.9256103038787842,0.01864827424287796,0.018417702987790108,0.018635433167219162,0.018688242882490158
18,인왕산 더숲 초소책방,Topic 2,0.0254064928740263,0.025264913216233253,0.8987757563591003,0.02519112452864647,0.025361722335219383
19,삼거리먼지막순대국,Topic 2,0.01214439608156681,0.012306641787290573,0.9511362910270691,0.012160355225205421,0.01225228514522314
20,세종한우정육점식당 2호점,Topic 1,0.01457204483449459,0.9417849779129028,0.01446279976516962,0.014707015827298164,0.014473184011876583
21,삼청동수제비,Topic 2,0.011972006410360336,0.011902891099452972,0.952242374420166,0.011905830353498459,0.011976899579167366
22,런던베이글뮤지엄,Topic 3,0.015779566019773483,0.01588691584765911,0.015721546486020088,0.9368459582328796,0.01576601341366768
23,삼원가든,Topic 1,0.01569908857345581,0.9371302127838135,0.015602277591824532,0.01584615372121334,0.015722256153821945
24,진주회관,Topic 4,0.01456561591476202,0.014418243430554867,0.01448083110153675,0.01451428048312664,0.9420210719108582
25,샤오바오우육면 종로본점,Topic 1,0.025118384510278702,0.8991274237632751,0.025169355794787407,0.025191083550453186,0.025393757969141006
26,수연산방,Topic 0,0.9618010520935059,0.0,0.0,0.0,0.0
27,필동면옥,Topic 3,0.014634807594120502,0.014742650091648102,0.3592595160007477,0.5966806411743164,0.01468244194984436
28,도넛정수 창신,Topic 2,0.022347504273056984,0.022462431341409683,0.9102799892425537,0.022392256185412407,0.022517766803503036
29,티테라피,Topic 0,0.9420304298400879,0.014611558988690376,0.014494108036160469,0.014388864859938622,0.014475026167929173
30,진옥화할매원조닭한마리,Topic 1,0.02272067964076996,0.9086803793907166,0.022977329790592194,0.022733934223651886,0.022887643426656723
31,강서구 고성막국수,Topic 1,0.03415145352482796,0.8645474314689636,0.03371364250779152,0.033631205558776855,0.033956222236156464
32,원조홍어 본점,Topic 4,0.020128101110458374,0.020217977464199066,0.020220251753926277,0.020279625430703163,0.9191539883613586
33,해방촌 혼고,Topic 4,0.02948896959424019,0.029590049758553505,0.02901269681751728,0.03095237724483013,0.8809559345245361
34,카페 할아버지공장,Topic 0,0.8983694314956665,0.025574272498488426,0.025409525260329247,0.025176819413900375,0.025469936430454254
35,울프강스테이크하우스,Topic 2,0.01443304494023323,0.014659266918897629,0.9420651197433472,0.01439537201076746,0.014447232708334923
36,남도분식 익선점,Topic 4,0.025442587211728096,0.025464480742812157,0.025387806817889214,0.025353621691465378,0.8983514904975891
37,태극당,Topic 1,0.016853878274559975,0.9324458241462708,0.016859881579875946,0.01690981723368168,0.016930600628256798
38,낙원떡집,Topic 2,0.02247471921145916,0.0224259402602911,0.9101995825767517,0.022369731217622757,0.022529998794198036
39,두가헌 레스토랑,Topic 2,0.011401709169149399,0.011349027045071125,0.9547045230865479,0.011262492276728153,0.011282272636890411
40,RSG 성수,Topic 1,0.022357800975441933,0.9106190204620361,0.022326458245515823,0.022286122664809227,0.02241062931716442
41,스미스가좋아하는한옥,Topic 4,0.011349801905453205,0.011449272744357586,0.01140089612454176,0.011232763528823853,0.9545671939849854
42,뉘조,Topic 4,0.01861499436199665,0.018435293808579445,0.018658587709069252,0.018437113612890244,0.925853967666626
43,하나로회관,Topic 3,0.01127688866108656,0.01132486667484045,0.011332455091178417,0.9547439813613892,0.011321824043989182
44,소문난성수감자탕 별관,Topic 2,0.025266433134675026,0.025399183854460716,0.8985921740531921,0.02526796981692314,0.025474250316619873
45,진미옥설농탕,Topic 1,0.012828134931623936,0.9489327669143677,0.012762107886373997,0.012762309983372688,0.012714670971035957
46,꽃새우 영번지,Topic 1,0.06787513196468353,0.7271853685379028,0.06815221905708313,0.06840130686759949,0.06838596612215042
47,해주냉면 본점,Topic 2,0.018504684790968895,0.018554195761680603,0.9258990287780762,0.018537607043981552,0.018504511564970016
48,충무로부산복집,Topic 3,0.01275975164026022,0.012776708230376244,0.012790229171514511,0.9489116072654724,0.012761672958731651
49,평창동북악정 신관,Topic 2,0.0,0.0,0.6316368579864502,0.0,0.3392372727394104
50,계림식당,Topic 1,0.06787605583667755,0.727156400680542,0.06815491616725922,0.06838521361351013,0.0684274286031723
51,자하손만두,Topic 3,0.011253065429627895,0.011226935312151909,0.011295382864773273,0.954937756061554,0.011286863125860691
52,키누카누,Topic 3,0.022337915375828743,0.022557422518730164,0.022775383666157722,0.9098794460296631,0.022449864074587822
53,황생가칼국수,Topic 3,0.012650511227548122,0.012697172351181507,0.012671858072280884,0.9493023157119751,0.012678142637014389
54,부민옥,Topic 1,0.013457044027745724,0.9462664723396301,0.013383304700255394,0.013435866683721542,0.013457315042614937
55,김가네가마솥설렁탕,Topic 4,0.0,0.0,0.0,0.0,0.9630350470542908
56,동작노을카페,Topic 4,0.016836460679769516,0.016901474446058273,0.01675664819777012,0.016750887036323547,0.9327545166015625
57,비언유주얼,Topic 0,0.9326627254486084,0.016946585848927498,0.0168226957321167,0.016726717352867126,0.016841236501932144
58,청송옥,Topic 3,0.015676626935601234,0.01569686084985733,0.015809716656804085,0.9371277093887329,0.01568903774023056
59,코코넛박스 카페,Topic 4,0.020985038951039314,0.02050209231674671,0.020213788375258446,0.020030219107866287,0.9182688593864441
60,동방명주 충무로점,Topic 2,0.012573008425533772,0.012656042352318764,0.9495200514793396,0.012613539583981037,0.012637360952794552
61,소선재,Topic 4,0.011844062246382236,0.011976405046880245,0.012164545245468616,0.01199303474277258,0.9520218968391418
62,쭈꾸미킹2.0 상봉점,Topic 1,0.022345859557390213,0.9104801416397095,0.022457238286733627,0.022344278171658516,0.0223725363612175
63,와이키키마켓,Topic 1,0.020613521337509155,0.9183874130249023,0.02027575671672821,0.020121362060308456,0.020601952448487282
64,강북구 서당골,Topic 2,0.018573932349681854,0.01870504952967167,0.9253786206245422,0.018661819398403168,0.018680574372410774
65,켄싱턴호텔 여의도 뉴욕뉴욕,Topic 1,0.17686133086681366,0.7890873551368713,0.011465229094028473,0.011247542686760426,0.011338548734784126
66,남산골산채집,Topic 1,0.020255262032151222,0.9183672666549683,0.020421305671334267,0.02032150700688362,0.020634669810533524
67,중구 베테랑칼국수,Topic 3,0.02245790883898735,0.022489463910460472,0.022472728043794632,0.9100964069366455,0.02248346619307995
68,꽃밥에피다,Topic 1,0.022805068641901016,0.9098487496376038,0.022445788607001305,0.022401228547096252,0.02249918133020401
69,패션5,Topic 4,0.022712456062436104,0.02258547954261303,0.022646134719252586,0.022419022396206856,0.9096368551254272
70,페르시안궁전,Topic 2,0.014411617070436478,0.014419499784708023,0.9422677159309387,0.014457355253398418,0.014443854801356792
71,강동 오늘손칼국수,Topic 2,0.015504751354455948,0.01580127701163292,0.9371829032897949,0.01562763750553131,0.0158834345638752
72,필경재,Topic 1,0.02014235407114029,0.9180498719215393,0.020567042753100395,0.02069028653204441,0.02055041864514351
73,송림식당,Topic 1,0.018350213766098022,0.9260725378990173,0.018490999937057495,0.018580930307507515,0.01850528083741665
74,일일향 논현2호점,Topic 1,0.015541945584118366,0.9376077055931091,0.015753693878650665,0.015530929900705814,0.015565748326480389
75,서초동노랑저고리,Topic 4,0.01690067909657955,0.01703704334795475,0.01703249104321003,0.16301892697811127,0.7860108017921448
76,중구 송원,Topic 1,0.06787567585706711,0.7271649837493896,0.068153016269207,0.068418949842453,0.06838738918304443
77,신당동천팥죽,Topic 3,0.025205297395586967,0.02536674030125141,0.025224439799785614,0.8988739252090454,0.02532961405813694
78,동흥관,Topic 2,0.011867385357618332,0.3235704302787781,0.6406960487365723,0.011891225352883339,0.01197490468621254
79,강남구 카페엠,Topic 1,0.02520303800702095,0.8991832137107849,0.02523357979953289,0.02511139214038849,0.0252687968313694
80,송림가,Topic 4,0.012662776745855808,0.01272737979888916,0.012692715041339397,0.012665435671806335,0.9492517113685608
81,63뷔페 파빌리온,Topic 3,0.022337250411510468,0.02250932715833187,0.022430527955293655,0.9102795124053955,0.022443391382694244
82,강강술래신림본동점,Topic 1,0.012700666673481464,0.9491800665855408,0.012698736041784286,0.012709051370620728,0.012711476534605026
83,송추가마골 은평1호점,Topic 0,0.9421107172966003,0.014511552639305592,0.014404106885194778,0.014474626630544662,0.014498994685709476
84,봉래헌(메이필드호텔),Topic 1,0.06787512451410294,0.7271855473518372,0.06815219670534134,0.06837914884090424,0.06840802729129791
85,꾸에바마테라,Topic 1,0.02536935731768608,0.8986079096794128,0.025435350835323334,0.02514812909066677,0.025439269840717316
86,고려삼계탕,Topic 4,0.010628020390868187,0.14596140384674072,0.01067377720028162,0.01087691355496645,0.8218598961830139
87,금천구춘천옥,Topic 1,0.011925334110856056,0.9523608088493347,0.011896698735654354,0.011868403293192387,0.011948762461543083
88,인크커피 가산점,Topic 1,0.01581375114619732,0.9374464154243469,0.01553847175091505,0.015504127368330956,0.015697265043854713
89,성북동누룽지백숙,Topic 3,0.015915662050247192,0.015585635788738728,0.01571432687342167,0.9371351599693298,0.01564922370016575
90,고래불,Topic 1,0.013415061868727207,0.9461073875427246,0.01350704487413168,0.013528437353670597,0.013442112132906914
91,배정철어도,Topic 2,0.013569892384111881,0.013586468063294888,0.9455691576004028,0.013712674379348755,0.013561775907874107
92,아이러브신당동떡볶이,Topic 1,0.022315800189971924,0.9098460078239441,0.022554149851202965,0.022430846467614174,0.022853177040815353
93,케르반레스토랑,Topic 0,0.9189236164093018,0.020286109298467636,0.02033657766878605,0.02018766663968563,0.02026602439582348
94,진주집,Topic 3,0.0201746616512537,0.020273230969905853,0.020236417651176453,0.9189247488975525,0.020390981808304787
95,호남식당,Topic 3,0.016760334372520447,0.016907617449760437,0.016916519030928612,0.9324252605438232,0.016990263015031815
96,서대문수빈,Topic 4,0.014416679739952087,0.014479870907962322,0.01456145104020834,0.014592690393328667,0.9419492483139038
97,여의도백리향,Topic 1,0.014424965716898441,0.9419963359832764,0.014669098891317844,0.014494998380541801,0.014414569362998009
98,송파구횡성한우,Topic 2,0.018551290035247803,0.018549716100096703,0.925388753414154,0.019006015732884407,0.018504232168197632
99,도봉구대문한정식,Topic 4,0.03386422619223595,0.03407125174999237,0.03372500464320183,0.033933836966753006,0.8644056916236877
100,촛불1978,Topic 1,0.01449969969689846,0.9419654607772827,0.014589125290513039,0.014510555192828178,0.01443518977612257
101,평안도족발집,Topic 4,0.015624260529875755,0.0156574584543705,0.015766944736242294,0.015703728422522545,0.9372475743293762
102,청와옥 본점,Topic 0,0.9258349537849426,0.018550051376223564,0.018663788214325905,0.018501929938793182,0.018449246883392334
103,서대문구형제갈비,Topic 1,0.014440188184380531,0.9420037269592285,0.014440534636378288,0.014485938474535942,0.014629572629928589
104,송화산시도삭면,Topic 1,0.01567809283733368,0.9376676678657532,0.015619072131812572,0.015472391620278358,0.01556278858333826
105,참만나,Topic 0,0.941226601600647,0.014682292938232422,0.014690982177853584,0.014646398834884167,0.014753739349544048
106,제일콩집,Topic 3,0.011866453103721142,0.01193958055227995,0.012018858455121517,0.9522311091423035,0.011944051831960678
107,무교동 북어국집,Topic 3,0.017017532140016556,0.01702016219496727,0.017334582284092903,0.9316126704216003,0.017015041783452034
108,전민규의황제누룽지탕 노원직영점,Topic 1,0.02228633314371109,0.910636842250824,0.022282186895608902,0.022490981966257095,0.022303689271211624
109,WANGTHAI,Topic 2,0.02549763396382332,0.025408785790205002,0.8985328078269958,0.025302868336439133,0.025257881730794907
110,성수살라댕템플,Topic 2,0.020276447758078575,0.020448125898838043,0.9185929298400879,0.020270077511668205,0.020412493497133255
111,관훈동 산촌,Topic 3,0.0133882537484169,0.013473471626639366,0.013477572239935398,0.9462246298789978,0.013436086475849152
112,로씨니,Topic 3,0.012031630612909794,0.012053287588059902,0.3621126115322113,0.6017646193504333,0.012037841603159904
113,대도식당 왕십리본점,Topic 3,0.025445638224482536,0.02545931376516819,0.025458907708525658,0.8982184529304504,0.025417670607566833
114,산채향,Topic 2,0.01687253825366497,0.017040401697158813,0.9323310852050781,0.016894519329071045,0.01686149463057518
115,사간동푸드떼,Topic 4,0.015700526535511017,0.015656769275665283,0.015528474934399128,0.015495735220611095,0.9376184940338135
116,마포삼다코지,Topic 1,0.022921865805983543,0.909231960773468,0.022595316171646118,0.022358272224664688,0.02289256639778614
117,옛날집낙원아구찜,Topic 1,0.01689288578927517,0.932509183883667,0.016887584701180458,0.016789009794592857,0.016921326518058777
118,영일분식,Topic 0,0.6094526052474976,0.32861989736557007,0.020705750212073326,0.020463399589061737,0.020758410915732384
119,아재왔소,Topic 1,0.022576317191123962,0.9096968173980713,0.022499367594718933,0.02241489663720131,0.02281261421740055
120,르몽블랑,Topic 1,0.01859290339052677,0.9261675477027893,0.018366703763604164,0.018257377669215202,0.018615467473864555
121,대치동중앙해장,Topic 3,0.022363733500242233,0.022569606080651283,0.02238740772008896,0.9103116393089294,0.02236761525273323
122,고궁의 아침,Topic 1,0.29705965518951416,0.6645872592926025,0.012761231511831284,0.01280151680111885,0.012790346518158913
123,성북동돼지갈비본점,Topic 4,0.018825583159923553,0.018657885491847992,0.01842695288360119,0.018915388733148575,0.9251741766929626
124,강동황도바지락칼국수,Topic 4,0.029807500541210175,0.029064960777759552,0.029315833002328873,0.02957146055996418,0.8822402358055115
125,금왕돈까스 본점,Topic 2,0.01363113522529602,0.013654643669724464,0.9455993175506592,0.013544443994760513,0.013570470735430717
126,운산,Topic 4,0.050733741372823715,0.0515572726726532,0.05096963047981262,0.05129655450582504,0.7954427599906921
127,서초구통나무집,Topic 1,0.018782170489430428,0.5100548267364502,0.018490348011255264,0.01860087551176548,0.43407177925109863
128,설마중,Topic 1,0.015540341846644878,0.9371626973152161,0.015646575018763542,0.015741856768727303,0.015908557921648026
129,강서도일처,Topic 0,0.9184630513191223,0.020324725657701492,0.020502844825387,0.020254625007510185,0.02045470103621483
130,강남곰바위,Topic 0,0.9374704957008362,0.01566486246883869,0.015617051161825657,0.015621792525053024,0.01562582142651081
131,드럼통 참숯석쇠구이,Topic 2,0.012827574275434017,0.46126288175582886,0.49294257164001465,0.02013663575053215,0.012830291874706745
132,종로구밀림,Topic 1,0.014685405418276787,0.9418269395828247,0.014475732110440731,0.01440016832202673,0.014611764810979366
133,인사동 촌,Topic 2,0.011847193352878094,0.012115832418203354,0.9520928859710693,0.012073417194187641,0.011870699934661388
134,대호정,Topic 0,0.9184378385543823,0.020490361377596855,0.02025296725332737,0.020373918116092682,0.020444948226213455
135,아델라베일리,Topic 4,0.010147975757718086,0.010104713030159473,0.010204828344285488,0.010046146810054779,0.9594963192939758
136,삼대할먼네,Topic 4,0.025416681542992592,0.02545647881925106,0.02545352466404438,0.02526143006980419,0.8984119296073914
137,용산구기와,Topic 1,0.014354448765516281,0.8502641916275024,0.1059393435716629,0.014672179706394672,0.014769816771149635
138,을지다방,Topic 1,0.013597287237644196,0.9458532929420471,0.013545969501137733,0.013393664732575417,0.013609766028821468
139,해담채 남부터미널점,Topic 1,0.025149350985884666,0.8984284996986389,0.025525040924549103,0.025547582656145096,0.025349535048007965
140,감꽃당,Topic 4,0.293520450592041,0.013772545382380486,0.01370755210518837,0.013503638096153736,0.6654958724975586
141,국화정원,Topic 3,0.01445572730153799,0.014692237600684166,0.014735219068825245,0.9415208697319031,0.014595926739275455
142,뽐모도로,Topic 1,0.04068275913596153,0.8369239568710327,0.04072270542383194,0.041064538061618805,0.04060598462820053
143,트레스드,Topic 1,0.022420348599553108,0.9099814891815186,0.022504769265651703,0.022456301376223564,0.02263704687356949
144,수유동가문,Topic 1,0.02234218269586563,0.9100927710533142,0.022536849603056908,0.022452833130955696,0.022575369104743004
145,북한산 큰숲 제빵소,Topic 0,0.9497103691101074,0.012589693069458008,0.012558026239275932,0.012537273578345776,0.01260461937636137
146,다래함박스텍,Topic 2,0.018484359607100487,0.018453938886523247,0.9263238906860352,0.018345225602388382,0.01839255727827549
147,뱃고동,Topic 1,0.020402178168296814,0.9188674688339233,0.02020864002406597,0.020346829667687416,0.020174873992800713
148,한강파라다이스,Topic 1,0.0,0.9612569808959961,0.0,0.0,0.0
